,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
185,7.4,0.2,1.0,0.14406393678902962,8.524296900174065,2.0,0.0,6.390259123270872,7.488542504864011,7.829555605128799,4.479572948828828,,4.825758475399535,4.277804359862978,,,4.415993184237155,,
186,7.4,0.4,1.2,0.1038308889653645,8.40646094044544,2.0,1.0,6.7725424735750765,6.5270276605061355,7.175976970564748,3.2991277414252633,,7.309790511787109,4.261453773570891,,,2.409464454621142,,
187,7.8,0.6,1.0,0.0921222333052219,7.48083544238502,0.0,0.0,3.17149067320627,6.638391071982278,6.891991683802659,3.4574201727584333,,2.7893229212309465,4.309724722918476,,,3.9170901457611644,,
188,7.4,0.4,1.0,0.1080663991151945,8.85627074572641,0.0,2.0,4.641396034392136,7.483794883211678,7.928884470266466,,,1.6519225240402555,4.554844844036026,2.5817308344235403,,7.714203019453571,,
189,7.6,0.2,1.0,0.12018808327176551,8.513972209476607,0.0,0.0,4.626530423109422,7.437735084554849,8.048305419370227,2.84193986287401,,2.214846178686039,5.869556766374646,,,3.344380086105337,1.506962120844864,
190,7.666666666666667,0.3333333333333333,1.0,0.12703734227128452,7.821169076190696,6.0,0.0,9.876992590439256,5.436547701829024,8.287557109162316,,,,6.977726205350775,,,3.0490834490509857,2.2332350148592526,
191,7.4,0.2,1.0,0.07813754216620179,8.955777487298377,1.0,1.0,7.238109553264513,7.779488715444336,8.07649481770869,,,6.467319772322861,8.374547705622902,,,,,
192,7.0,0.0,0.8,0.09289626571780712,8.35006294027878,0.0,1.0,7.500019681614471,8.180661713040266,7.049835401864575,3.338967305126021,,2.0885251604128783,4.060580932069292,3.722435112642146,,2.418232516520008,2.8508798968745115,
193,7.6,0.2,0.8,0.11955499852139129,8.285206907675265,6.0,0.0,6.588238483010338,7.716595312287324,7.522963620517371,,,1.7959174793767188,4.60751742905644,,,2.4917167417165498,,
194,8.0,0.8,1.0,0.11476816921494709,8.581962998333443,2.0,0.0,5.498147254084798,7.282280651799463,8.155093273163828,2.8966299125107797,,3.502128100240596,5.16695504835121,,,3.643568231403933,2.036273046278457,
195,7.25,0.25,0.75,0.14085924635236632,8.518493545645168,4.0,2.0,7.5045897774001675,7.624758624846963,7.055989922094349,5.150837719154817,,,5.118568497553016,,,4.617958071331367,3.4446080227439024,
196,7.5,0.0,1.0,0.07387608289940913,8.740934484121924,6.0,0.0,7.468272374903173,7.095158071073518,8.367438800400969,,,5.214087571914221,3.856129673387606,,,2.9050961532945467,2.073674946785499,
